"created_at","screen_name","followers_count","retweet_count","text"
2020-12-11 11:16:01,"UNEP_Europe",23082,4,"Congratulations to the #EU<U+0001F1EA><U+0001F1FA> for this important step on the eve of the #ParisAgreement's fifth anniversary!

Leadership from the bloc on #climatechange is essential if we are to reach the 2°C target<U+0001F4AA><U+0001F30D>. https://t.co/FWNxIwFJP6"
2020-12-11 15:31:11,"WILDfoundation",10616,0,"Thank you to everyone who supports WILD and conservation. Protecting the planet doesn't happen without people like you!<U+0001F30E><U+0001F3D4><U+0001F43A><U+0001F41D><U+0001F427><U+0001F333><U+0001F332><U+0001F33A><U+0001F335><U+0001F43F><U+0001F994><U+0001F9A1><U+0001F407>
#GoodNewsFriday #conservationwin https://t.co/wj0VDZrRxM"
2021-01-18 02:56:24,"AlexandriaV2005",56334,0,"@sopranotiara @American_Girl Yes! <U+2764><U+2764><U+2764>"
2020-12-07 12:15:12,"IPCC_CH",234385,12,"#IPCC Chair Hoesung Lee will make a statement along with UNSG @antonioguterres &amp; other world leaders for the Climate Ambition Summit 2020 this coming Saturday 12 December.

#ClimateChange #ClimateAction https://t.co/w6Ii80J7a6"
2021-02-27 15:19:10,"ScarlettOWest",5074,0,"@_evebennett that’s a really valid worry, but all forms of media are valuable! i’m sure the articles you have written are incredible, and i know the saying is overused but it’s definitely quality over quantity. it’s really good that you’re getting experience in different media types"
2020-12-16 23:07:13,"ChiefExecCCC",19501,0,"@JMckenzie150 Genuinely see the attraction of that."
2020-12-21 11:00:57,"c40cities",106474,6,"Stockholm’s climate action plan lays out ambitious emission reduction targets, with the goal of becoming carbon neutral by 2040 <U+0001F64C> #TheFutureWeWant

@SthlmMayor https://t.co/1LJEuygHeY"
2021-02-11 00:06:01,"ExtinctionR",358387,5,"@Petronas <U+0001F914> https://t.co/6C0dq8m2O4"
2020-12-11 09:13:06,"GermanEnvAgency",1470,1,"Save the date: As part of the German #EU Council Presidency, @bmu &amp; UBA will host a virtual #conference on #corporate non-financial reporting on December 18. 
https://t.co/ieaEQ9Bh11 #finance #business #environment @EU2020DE https://t.co/7wDmQnqVf6"
2021-02-26 16:11:00,"ClimatePower",232006,12,"NEW ANALYSIS finds ""impressive overlap” between fossil fuel hubs and counties with high renewable energy potential.

Building a clean energy economy means creating millions of good-paying, union jobs—especially in counties suffering from Big Oil’s decline.
https://t.co/dcZlUwWn6w"
2019-12-06 16:37:53,"exxonmobil",326103,11,"Red, blue, pink – the color of grease doesn’t change its performance. Dyes are added simply to help distinguish one product from another. Learn more surprising facts here. https://t.co/Qc6gRxkXzl https://t.co/oL73OS6gdV"
2020-07-16 18:39:31,"PEspinosaC",108140,47,"I applaud @algore Al Gore's leadership in launching @ClimateTRACE, a tool using ‘frontier technologies’ to track GHG emissions in real-time. Such systems are key to improving our understanding of emissions and the carbon cycle, crucial for a transition to #CarbonNeutrality."
2020-12-22 11:00:14,"c40cities",106474,4,"Rotterdam’s climate action plan commits to a more sustainable future for the city’s port industry <U+0001F6A2> #TheFutureWeWant

@rotterdam https://t.co/dyubsrivKD"
2020-10-23 08:11:00,"UNEP_Europe",23082,0,"How can #nature help us to build resilience against disasters and #climatechange? Whether you are a policymaker, business, engineer, or simply curious, join this free course available in 7 languages! https://t.co/6ThDi9JxAQ"
2020-11-28 14:21:00,"ClimateDesk",159824,0,"Spent rockets are dangerous space trash, but they could be the future of living and working in orbit. https://t.co/o7bhLxrVIN"
2021-03-01 20:46:23,"ClimateBen",56386,0,"@DavidLWindt This quote was brought to you by (of course) Hausfather."
2021-02-24 16:02:50,"CmccClimate",3977,0,"In Europe, around 30% of the 880 billion USD COVID recovery plan is being tied to climate measures. 
Energy Market and Strategies: a New Paradigm on #CMCCForesight
https://t.co/IKWmUMIkIg https://t.co/C6cAdbvBVD"
2020-10-22 20:37:12,"algore",3057070,27,"I am now live, sharing a meal with @carlahall and Jayna Green, the winner of the 2020 @4h Youth In Action Pillar Award for Agriculture. We are going to discuss why food justice matters at this important time. Tune in here: https://t.co/579sW5yybP https://t.co/zJeBi2bKdr"
2020-07-09 06:00:00,"Shell",553814,15,"<U+0001F916> How clever will #AI become?

<U+0001F3A7> Tech experts from Shell, @Microsoft, @kespry and @imperialcollege join the conversation in the latest episode of The Energy Podcast. Listen now: https://t.co/nWKJYFq4IN #podcast"
2021-02-12 11:00:54,"ExtinctionR",358387,11,"We believe in meeting people where they are, so they can do what they can with whatever they have. 

If you can't donate time or expertise, please consider taking action by donating to support our movement: https://t.co/xRolrRv9Il https://t.co/sQffgbBHGt"
2021-02-24 13:00:57,"WRIClimate",56751,3,"TODAY: Join @WorldResources and @WorldWarZeroOrg at 11AM ET. for a dynamic event discussing what a green and equitable recovery in the U.S. should look like with climate and energy experts. https://t.co/Z3RvLcNDfX #GreenRecovery #BuildBackBetter"
2020-12-02 08:59:52,"JoyceMsuya",21141,8,"This #AdaptationWeek, @UNEP &amp; partners are sharing information on climate adaptation &amp; highlighting the importance of ensuring a #ResilientRecovery.

Supported by @theGEF, this project in El Salvador shows how working with nature can help protect people. https://t.co/Ntah9nh0qK"
2021-02-19 17:05:07,"YaleClimateComm",68310,0,"While six in ten Americans say they “rarely” or “never” discuss global warming with family and friends, a large majority support schools teaching children about it: https://t.co/zob3oCG51P https://t.co/jIBUAzAmI7"
2017-03-01 16:32:37,"voice4theplanet",228,9,"We need your vote. We need #ClimateNews in #Public #Media. Cast ur vote by typing ur name, email and postal code on the link below. Ta! https://t.co/VN3lZhuohs"
2021-02-18 18:07:02,"Treehugger",354191,2,"There is, in fact, a right way to shovel https://t.co/qiDMTJIOWU https://t.co/VHXhXPbZdZ"
2020-02-05 14:39:38,"EmpowerNEnergy",141,0,"EmNEW is proud to be a partner in the unique Rucanzogera hydro project in Rwanda which has been featured in the latest issue of Africa Power &amp; Energy Elites and nominated to the 2020 African Power, Energy and Water Industry Awards<U+0001F4A7>Read the article here: https://t.co/jbYFxrKTw4"
2021-01-13 11:49:53,"UNFCCC",786735,182,"One focus of @UNEP's #AdaptationGap report presented tomorrow will be on #NatureBasedSolutions to climate change. Here is one of them (via @CASsummit2021) https://t.co/7xyzkrkxHk"
2020-02-06 19:27:11,"CBI_CC",13310,4,"Excellent opportunity today to share the views from @CBItweets members about the #EnvironmentBill and thank you to @DefraGovUK for hosting. Businesses clearly backs the ambitions of the bill and its vision for a cleaner future. https://t.co/AkqgxtXg40"
2021-02-17 16:12:27,"ScarlettOWest",5074,36,"‘As neoliberalism continues to attempt to force us into hopelessness,there's no greater act of resistance than hoping.’

Me for @i_D on how we fight back against the capitalist systems driving the extent of the coronavirus pandemic &amp; the climate crisis :

https://t.co/KwpG5VlDRw"
2021-02-12 14:10:05,"Climeworks",8337,9,"Meet the team behind #Orca. 
There are many people in our Zürich and Cologne offices who have been working hard over the past year to bring Orca to life. Here are some of the team members who are currently in Iceland for the construction process. Thank you for your hard work! https://t.co/iHyHWChRUj"
2021-02-11 09:34:37,"OrstedUK",14921,2,"Across the east and west coast, where our apprenticeships are based out of, #didyouknow there’s now a whopping £150,000 up for grabs in funding for STEM projects!? <U+0001F632> Find out how to apply here: https://t.co/ytFmyyTc0f <U+0001F929><U+0001F6E0><U+FE0F> #NAW2021"
2021-02-26 14:23:14,"CANIntl",32551,6,"""Brazil's updated NDC is a trainwreck of reduced ambition. 
It violates the #ParisAgreement by giving the country a free pass to emit 200 to 400 million tons of CO2 more than the 
2015 pledge."" -@MarcioAstrini Executive Secretary @obsclima #ClimateAction #WorldWeWant<U+0001F30E> https://t.co/06JQ3L7UAr"
2021-01-26 10:29:23,"IPCC_CH",234385,27,"Experts are invited to register for the review of the Second-Order Draft of WGIII’s contribution to #AR6. The review runs from 18 Jan to 14 Mar 2021.

Interested? Register here <U+27A1><U+FE0F>  https://t.co/cEtS7yNseX 

More about the role of expert reviewers <U+27A1><U+FE0F>  https://t.co/et0GYcTwpd https://t.co/EZ0Ii920I9"
2021-03-01 17:48:55,"KateAronoff",77756,10,"I just watched the CEO of United Airlines tell an enthused, renowned energy expert about what an exciting climate achievement it will be to have hydrogen planes flying from midtown to JFK"
2020-10-30 15:08:43,"Climeworks",8337,0,"@tim_neville from @outsidemagazine ""watched the birth of a carbon offset"" by traveling all the way to Montana. Along the way, he also learnt about #Climeworks and how individual travelers can have their emissions permanently removed using our solution.
https://t.co/61wMK09f3e"
2021-02-26 12:30:30,"Fridays4future",99246,78,"Biodiversity is dying in Amazon Fires, indigenous being murdered. #EUMercosur deal would increase death of millions of endangered species. Bolsonaro called NGOs and indigenous in public “a cancer he couldn't kill yet“ @vonderleyen Stop this crime and  #SayNoEUMercosur ! https://t.co/KV2QiwDFkW"
2020-07-17 15:27:33,"PEspinosaC",108140,35,"Amazing news! I welcome this partnership by The Climate Pledge and @WMBtweets to mobilize #ClimateAction among the private sector and support our #racetozero campaign, together with @topnigel and @gmunozabogabir Thank you!!! @amazon @CFigueres @JeffBezos 

https://t.co/mjhW9MMbTA"
2020-12-23 19:47:23,"CarbonEngineer",6339,3,"In case you missed it: United Airlines pledged to reduce its carbon emissions by 100% by 2050 and announced a multi-million dollar investment in 1PointFive, Inc., Carbon Engineering’s US development partner. Read more from the @chicagotribune https://t.co/FP9z3nXuvu"
